date,strategy,return
2022-12-31,GB,-0.046425450473829136
2022-12-31,HistMean,-0.055926635590360665
2022-12-31,MomentumTop3,-0.02090291454350775
2022-12-31,RF,-0.054735130233341235
2022-12-31,Ridge,-0.044889093598378116
2022-12-31,SPY,-0.05762826393128151
2023-01-31,EqualWeight,0.04650956585268535
2023-01-31,GB,0.018107417180335927
2023-01-31,HistMean,0.07014211934605563
2023-01-31,MomentumTop3,-0.0009138550686544527
2023-01-31,RF,0.062285663621922005
2023-01-31,Ridge,0.0447311172162698
2023-01-31,SPY,0.06288753547643822
2023-02-28,EqualWeight,-0.031139183102619514
2023-02-28,GB,-0.05059169121348638
2023-02-28,HistMean,-0.032860820533063675
2023-02-28,MomentumTop3,-0.037113841938360904
2023-02-28,RF,-0.030342624267874742
2023-02-28,Ridge,-0.03371735956270856
2023-02-28,SPY,-0.025142655042130646
2023-03-31,EqualWeight,0.017020851548826908
2023-03-31,GB,0.01843497128895858
2023-03-31,HistMean,0.03287419624965467
2023-03-31,MomentumTop3,-0.0012553389767458643
2023-03-31,RF,0.01843497128895858
2023-03-31,Ridge,0.015080284692544186
2023-03-31,SPY,0.037077856718739755
2023-04-30,EqualWeight,0.01345315461698144
2023-04-30,GB,0.006233348492409455
2023-04-30,HistMean,0.00840399464878816
2023-04-30,MomentumTop3,0.017548817806812018
2023-04-30,RF,0.013183072448874806
2023-04-30,Ridge,0.01464548508189393
2023-04-30,SPY,0.01597484529096338
2023-05-31,EqualWeight,-0.03238218522390527
2023-05-31,GB,-0.0013077334645564057
2023-05-31,HistMean,-0.026599080179820704
2023-05-31,MomentumTop3,-0.014214674588367813
2023-05-31,RF,-0.05060305241523651
2023-05-31,Ridge,-0.05816801980635428
2023-05-31,SPY,0.004616232939212983
2023-06-30,EqualWeight,0.06968515291162387
2023-06-30,GB,0.06698350261262769
2023-06-30,HistMean,0.08398778400391967
2023-06-30,MomentumTop3,0.09845534193768027
2023-06-30,RF,0.08757210174899077
2023-06-30,Ridge,0.06913092267455423
2023-06-30,SPY,0.06479978749241044
2023-07-31,EqualWeight,0.03277223994544179
2023-07-31,GB,0.03778160492650932
2023-07-31,HistMean,0.042235659130592275
2023-07-31,MomentumTop3,0.02595148316061594
2023-07-31,RF,0.0250320305938172
2023-07-31,Ridge,0.031422583532021944
2023-07-31,SPY,0.032733177560168025
2023-08-31,EqualWeight,-0.02261746907603395
2023-08-31,GB,-0.028096756951993946
2023-08-31,HistMean,-0.005353938115934468
2023-08-31,MomentumTop3,-0.00615171859203134
2023-08-31,RF,-0.016633421185376286
2023-08-31,Ridge,-0.02714797585018802
2023-08-31,SPY,-0.016252144206635566
2023-09-30,EqualWeight,-0.04090152338411041
2023-09-30,GB,-0.03340858436496844
2023-09-30,HistMean,-0.03202344470896382
2023-09-30,MomentumTop3,-0.03340858436496845
2023-09-30,RF,-0.0295136019313994
2023-09-30,Ridge,-0.0517137289617355
2023-09-30,SPY,-0.04743445218332765
2023-10-31,EqualWeight,-0.02573819017518581
2023-10-31,GB,-0.02540629012030171
2023-10-31,HistMean,-0.03740084196022501
2023-10-31,MomentumTop3,-0.028943124167137027
2023-10-31,RF,-0.034652739775127395
2023-10-31,Ridge,-0.037882408953980054
2023-10-31,SPY,-0.021708414552536914
2023-11-30,EqualWeight,0.07330486482785045
2023-11-30,GB,0.02948699032854233
2023-11-30,HistMean,0.06842727617755098
2023-11-30,MomentumTop3,0.108989850880014
2023-11-30,RF,0.02948699032854233
2023-11-30,Ridge,0.07539861640608395
2023-11-30,SPY,0.0913437161049
2023-12-31,EqualWeight,0.04014598510418938
2023-12-31,GB,0.040494044573391674
2023-12-31,HistMean,0.034640032836577385
2023-12-31,MomentumTop3,0.05793458010402334
2023-12-31,RF,0.02917715226584801
2023-12-31,Ridge,0.037401404715809994
2023-12-31,SPY,0.0456552810668267
2024-01-31,EqualWeight,-0.00310724170640031
2024-01-31,GB,-0.0008129238299165262
2024-01-31,HistMean,-0.008919620387778602
2024-01-31,MomentumTop3,-0.008919620387778602
2024-01-31,RF,-0.00030592091883333873
2024-01-31,Ridge,0.022900676676028166
2024-01-31,SPY,0.01592656463792297
2024-02-29,EqualWeight,0.04439663620834364
2024-02-29,GB,0.03626372831038223
2024-02-29,HistMean,0.053216392239182765
2024-02-29,MomentumTop3,0.06593707248556413
2024-02-29,RF,0.031124707639405447
