Ticker,Indicator,Number of observations,Mean,Median,Skewness,Kurtosis,Min,Max,Standard Deviation,Sharpe Ratio
XLB,ret3m,119.0,0.026610660463961287,0.03411541823569397,-0.46983904838864404,1.3809055033844593,-0.28687197070339643,0.24249231026987328,0.08119210583076417,1.0648915378275239
XLB,ret6m,119.0,0.054808983931920977,0.05383939031163343,0.05101415643304516,0.554569567666833,-0.22849077074095836,0.37230297067040974,0.10407941989776333,1.7692512553201767
XLB,ret12m,119.0,0.10252507261060737,0.10681860516706398,0.6680839237866215,1.0022857584132443,-0.16029301144254393,0.6064302726115313,0.14232204873939922,2.455248693101988
XLB,vol3m,119.0,0.048955890020782274,0.04593730660570736,0.8346927356094498,0.8610137081694034,0.0038775382054647978,0.15511539700618293,0.03025372493966219,5.416421698908151
XLB,vol6m,119.0,0.052343889299106494,0.05305468554734208,0.37757860186901804,0.09420803958568946,0.006684921593812192,0.10866416113159057,0.022631312545877587,7.759307183449266
XLB,vol12m,119.0,0.05384464006384489,0.05337582159417917,-0.18231309285439362,-0.7314573463294547,0.013830371886753724,0.0841255261564664,0.01777704916233796,10.170532662935194
XLB,mkt_ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
XLB,mkt_ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
XLB,mkt_vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
XLB,rel_strength3m,119.0,-0.010541083598081877,-0.012827026347010606,-0.021343807691192873,0.4911714557168394,-0.15041908461060338,0.13460686602027494,0.048676436020632194,-0.8677017798720534
XLB,beta12m,119.0,1.0590002994003673,1.062758296379611,-0.8875287252441063,3.228334679358173,0.1327516922882874,1.5910011140553793,0.23385818819083878,15.662326944651111
XLB,corr12m,119.0,0.8121744298826556,0.865730250057206,-2.1452200317033148,6.313522239006442,0.09645286648027608,0.9650271804021665,0.15319315518938573,18.328061103014075
XLB,drawdown6m,119.0,-0.11585558502818308,-0.12088106924863473,-0.34405870038550734,-0.6669756581938433,-0.26178868018235735,0.0,0.07343042436834354,-5.543434729894563
XLE,ret1m,119.0,0.010400965950528562,0.015538709220136893,0.12002891579502888,3.8685120638704285,-0.3437096612738175,0.3076392471268712,0.08531000242631748,0.35527788806340016
XLE,ret3m,119.0,0.029105485498689382,0.010412529572985552,-0.4938218636452991,4.045008527788063,-0.6065179085565752,0.36221236867753714,0.13244189395925485,0.7180742514836224
XLE,ret6m,119.0,0.0578079107882024,0.04496172805551757,0.409076909938547,1.868620823220088,-0.5511563160039055,0.6232165054123899,0.17614200132462052,1.1044000307179835
XLE,ret12m,119.0,0.10572052247955889,0.05474577370087841,0.3228341313421161,0.08701399646460883,-0.6281465952888576,0.8120427767949425,0.26802788867543464,1.3450293885487565
XLE,vol3m,119.0,0.07034876362130622,0.05984253182309031,2.108322043661764,6.851293170018666,0.004120348063182654,0.3348507583696858,0.055773422977143584,4.266799624715908
XLE,vol6m,119.0,0.0770016318044342,0.06842015754991508,1.5326007503143337,2.5423017493031623,0.012847060448658748,0.22104339893125144,0.04362194007911239,5.983691490407944
XLE,vol12m,119.0,0.07901869327227472,0.068340714649083,1.1601706810168118,0.6594773818304369,0.03482719062795719,0.18159355787745676,0.03618926191763845,7.405719910646286
XLE,mkt_ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
XLE,mkt_ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
XLE,mkt_vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
XLE,rel_strength3m,119.0,-0.008046258563353774,-0.03510939088692011,0.48710866196180264,1.3889464255580095,-0.4020771482902292,0.39649373962132584,0.12193651178584627,-0.2755065094829324
XLE,beta12m,119.0,1.0276392246041814,1.1277822978734073,-0.14594386190577457,0.14029954489005192,-0.731726901297991,2.3275107473756256,0.642705223864239,5.529946420702335
XLE,corr12m,119.0,0.5306996228149092,0.5638198882798569,-0.6205423169359191,0.31168649017605166,-0.4050629610451144,0.9617045869277355,0.29902761004936806,6.128785816092517
XLE,drawdown6m,119.0,-0.21804948850778685,-0.16650358645692898,-1.4169846066737162,1.1842413045135758,-0.5821059432648344,-0.02677693337753273,0.14911515714396095,-5.103886454953325
XLF,ret1m,119.0,0.011711731095436863,0.01888120118720016,-0.4577868452798105,1.5465754206022377,-0.21035948348399014,0.16848268273173583,0.056647492531343234,0.6151972415895808
XLF,ret3m,119.0,0.03483123488809281,0.04300763954708475,-0.8027618249421458,2.3818364210429324,-0.3494833905669392,0.2394904588883191,0.09062528941418552,1.2682739257501396
XLF,ret6m,119.0,0.07007969196780228,0.07767637991584264,-0.10004210053939863,0.45605477607080314,-0.24786808989918985,0.4530555173858959,0.1265017958762062,1.8738226365614181
XLF,ret12m,119.0,0.1373148223963883,0.1322759850383246,0.3744327258010791,-0.5393022773157319,-0.17010732000000395,0.571534819736308,0.1770272522317096,2.6546830878618275
XLF,vol3m,119.0,0.05105769077765579,0.04591146865758799,0.9954486995838003,1.8536559785127786,0.0032612118083694673,0.16020544464933958,0.028626317493628206,5.978686698722713
XLF,vol6m,119.0,0.05396889469097206,0.05240418548301976,0.9406916016092083,0.8342326509679454,0.022383315272158682,0.11358207063997383,0.020200374362494233,8.97173916475402
XLF,vol12m,119.0,0.05521166460952214,0.05043487995825019,0.8655053996410276,0.36628809364924164,0.030360000830001406,0.09730293327474043,0.015360909377897232,12.078553849145544
XLF,mkt_ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
XLF,mkt_ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
XLF,mkt_vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
XLF,rel_strength3m,119.0,-0.002320509173950349,0.00031755554777368467,-0.1946939043043521,0.7290184754499469,-0.1639278255485268,0.16091301343362696,0.056915077827742466,-0.2417588723076393
XLF,beta12m,119.0,1.113528989299738,1.0709966832537552,2.55525022843637,12.558068910921603,0.6356643267526122,2.7436263086833907,0.26008594886613595,14.809167283630671
XLF,corr12m,119.0,0.8043372009564536,0.8038524051688867,-0.5004626796593307,-0.8013370174233119,0.5192188140306805,0.9700855728947807,0.12071741571720847,23.033830992595888
XLF,drawdown6m,119.0,-0.12042817163240516,-0.09877625110404598,-0.7074763891859162,-0.3977943049638668,-0.31785111723109283,-0.015543951335310613,0.08168698282447659,-5.177038674865812
XLI,ret1m,119.0,0.011896873579854328,0.010068348288937656,-0.33847689541462744,1.277123334855744,-0.1862594440981118,0.16027420499396405,0.05366489296101859,0.6613398735991117
XLI,ret3m,119.0,0.03543432056771783,0.04560064435116151,-0.8580078275259947,1.944743302272054,-0.28967960497680767,0.19410880910304118,0.08010169109858564,1.460978414430672
XLI,ret6m,119.0,0.07144093921110813,0.08216515299347571,-0.313386457319419,0.6297978054055604,-0.235392608160787,0.3217635155925983,0.10128068791147841,2.38700420028689
XLI,ret12m,119.0,0.13449802121237323,0.14548663840997234,0.2767498252580377,0.6612080905343047,-0.1840618853222269,0.5557760244991268,0.13452396878264403,3.420903882211911
XLI,vol3m,119.0,0.04804164739118207,0.043912060193730076,0.9848394766204651,0.826832775235443,0.0031567827937498665,0.14951374558467817,0.030514707011136327,5.26630987502229
XLI,vol6m,119.0,0.05130530952913846,0.048749133907089154,0.5332614694905031,-0.11120115055943014,0.010647654323098815,0.1062506016916869,0.022512893843317568,7.640313206583776
XLI,vol12m,119.0,0.052410329198927505,0.04974261589258936,0.1520078676288677,-0.5785565483192481,0.016105301861194656,0.09120755371471614,0.016934102136354684,10.38339435752593
XLI,mkt_ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
XLI,mkt_ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
XLI,mkt_vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
XLI,rel_strength3m,119.0,-0.001717423494325329,0.0005303192792923683,-0.17681197929834744,0.5519993457095844,-0.1200868959672231,0.1079189444838764,0.03880688568770921,-0.300734644104083
XLI,beta12m,119.0,1.1295102071923437,1.1225851691833793,0.46804851877330905,-0.27563797356482445,0.8825610477531022,1.5578571990511236,0.13882902214380594,28.142652215377446
XLI,corr12m,119.0,0.8837717106314775,0.8930580970504697,-0.6949800394505371,-0.1312931661951784,0.6658967725296793,0.9834852049147186,0.0714179277446415,42.7869284541838
XLI,drawdown6m,119.0,-0.08953317350984334,-0.08033181702922054,-0.9965321580961176,0.4758477553377194,-0.2715288941936601,0.0,0.06990984537439604,-4.518294307872358
XLK,ret1m,119.0,0.018582405144637666,0.022260603832968018,-0.29122084365001644,-0.3333416009465098,-0.11967106449553311,0.13736465907097561,0.05591599816485548,1.0488964901646567
XLK,ret3m,119.0,0.055704279736191645,0.060939899252049234,-0.31140637813859473,0.5187592828968706,-0.20959062133800166,0.2786196706685604,0.08782771255626748,2.1319471326177863
XLK,ret6m,119.0,0.11039297871463584,0.12041113144162396,-0.5339015673311353,1.5808600234691403,-0.2933566756513315,0.4009244651006797,0.11557056276198115,3.259404829459249
XLK,ret12m,119.0,0.21037295803048184,0.23338044109096978,-0.7002877096484489,0.49242486953306575,-0.2829439751029741,0.5437695658495939,0.15658646018848035,4.617462182674576
XLK,vol3m,119.0,0.04982308838846706,0.04187974261850465,0.7079865146285483,-0.07835239573118002,0.007174260064909718,0.13328741391203314,0.02944658047582261,5.666905725747601
XLK,vol6m,119.0,0.053358628903968065,0.0540210637776331,0.2889040194300187,-0.33755073768421795,0.01063342221458524,0.10459667344063028,0.020700356226963673,8.652917135742053
XLK,vol12m,119.0,0.05373749593809328,0.05344472073689917,0.1296162787222281,-0.2884763454177559,0.022056376862523996,0.09244271897579695,0.016462560687437854,10.9600750723292
XLK,mkt_ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
XLK,mkt_ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
XLK,mkt_vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
XLK,rel_strength3m,119.0,0.018552535674148475,0.018312231931846834,0.22513429836439322,-0.061669506459822276,-0.07153290004771296,0.1388922305020499,0.0419938901740303,1.3941700351069535
XLK,beta12m,119.0,1.10450971620766,1.128059814030932,-1.2543277546514433,2.77911612206244,0.5124908316417136,1.4857457919700323,0.16115252696502533,23.706811915049414
XLK,corr12m,119.0,0.8476427461198212,0.8918206727106875,-2.001509149932499,4.080876868045317,0.2538699499070921,0.9902953704398337,0.14426992098954897,20.31330814030359
XLK,drawdown6m,119.0,-0.09592961495271708,-0.07843964455347263,-1.2265563349535094,0.7997092513850559,-0.31211077606081505,0.0,0.0834497611597304,-4.050714763649724
XLP,ret1m,119.0,0.006644594736517263,0.010487899115068977,-0.1263999215906214,0.3147959600241177,-0.08914537986723037,0.10454658895041558,0.03620551290373586,0.4777257526824704
XLP,ret3m,119.0,0.019889941452189773,0.027053175035973043,-0.36549969456371006,0.09830196330604712,-0.13429123053610015,0.12608202231094423,0.052175461526450195,1.2109051076047335
XLP,ret6m,119.0,0.041476496921290296,0.04186252769148158,-0.1803721824158198,-0.4858353741878765,-0.11356876460823373,0.18240404318012082,0.06455789877536051,2.1369585617993843
XLP,ret12m,119.0,0.08481550246368526,0.08281724851911654,0.07181819320261493,-0.2571200926946178,-0.09807130868299574,0.26773696249970724,0.07245777254540833,3.9759471413107264
XLP,vol3m,119.0,0.03353944898064077,0.033511953888929344,0.6820122756598919,0.11959920341233854,0.0030392243299365465,0.09175866232732235,0.019211098633433416,5.749947779504627
XLP,vol6m,119.0,0.03553204996313628,0.03354057878676268,0.22763313359740167,-0.6671609696479037,0.010681297979960811,0.06333265751231108,0.012825413301311074,9.151002268203316
XLP,vol12m,119.0,0.0366580766284325,0.03696800250003768,0.1303431433485545,-0.7967063262187466,0.02135625593237051,0.05453673786486282,0.008086785988273965,14.995581331906413
XLP,mkt_ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
XLP,mkt_ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
XLP,mkt_vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
