Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2016-04-30,0.0039413315655119074,0.051104325191270394,0.09064478075967353,0.03600007070097955,0.012438737654232757,-0.05027016635689385,-0.014323364616274592,-0.024183864072898853,0.029654298011259073,0.0012640597573452261
2016-05-31,0.017011473001660393,-0.0033971185883322486,-0.009333597389909243,0.01887619557860254,-0.004273013889743105,0.0488956358376047,0.006883464702013953,0.01507658941211032,0.02235266471125663,0.0005048571086310183
2016-06-30,0.0034755498274978702,-0.007845530365662046,0.027207296515862067,-0.03232719732671707,0.007131283576592207,-0.0137776664283219,0.05358507625950826,0.07628031672079127,0.00909175516043681,-0.01139560321862687
2016-07-31,0.03647140544714844,0.05071173031907561,-0.01260271667297741,0.034558482477266006,0.03624374044968692,0.07101685862201457,-0.008159626076734594,-0.006670461365151703,0.04866817514191579,0.045606079136573774
2016-08-31,0.0011977624760066696,-0.002669582843607965,0.016770402929933148,0.03847782064850547,0.00947622090602862,0.011625126682963005,-0.005849672705295683,-0.055448607789576276,-0.03244678380198962,-0.0129870613815809
2016-09-30,5.786437707855363e-05,-0.011611899009447924,0.03688227826693957,-0.028017430877249394,0.0018614383263748646,0.02101798956801959,-0.015455743382195242,0.003610623605431851,-0.005096468380920927,-0.002666490480714989
2016-10-31,-0.017337021754760595,-0.020942193744104554,-0.028182825547724888,0.02279772433194971,-0.02004131136877285,-0.007534167357658217,-0.007704953094229805,0.008981030782014177,-0.06587119167858746,-0.024237656670053287
2016-11-30,0.03683838508789994,0.06823517235958043,0.08466886045331323,0.14032412453959786,0.0908931547819456,0.0016872359943678195,-0.0420456491302289,-0.054217967407639844,0.020635097700187677,0.04801542763017874
2016-12-31,0.02027178768867688,0.0017664597476814148,0.017307579007084017,0.03756431558389561,0.003060991872864127,0.0225980879319172,0.02996627597659618,0.04898789136615722,0.007162582430493725,0.0003903337085857661
2017-01-31,0.01789452769549138,0.04547275877648893,-0.03212941442860784,0.0025808925262591487,0.01864373517231832,0.035566781415855564,0.017017506016103745,0.012559591172298212,0.02291885224357837,0.04213722791116847
2017-02-28,0.039291554585416666,0.005581262986057878,-0.020850390456143675,0.05276728572352085,0.03912893604692558,0.0453273263604872,0.04772781011412075,0.05266366679043544,0.0633861076767861,0.018154106328460706
2017-03-31,0.0012502928797430979,0.006218461444740253,-0.014859891216728927,-0.0295614022775893,-0.007655749141778356,0.022260603832968018,-0.0042267804737237125,-0.001353397998861361,-0.004805928517313651,0.02133943528764881
